Assembly	Level	WGS	BioSample	Isolate	Taxonomy
GCA_012518835.1	Contig	JAAYRH000000000	SAMN13894182	AS23ysBPME_17	Aeromonadales bacterium	
GCA_012839585.1	Contig	DUNB00000000	SAMN13893610	AS05jafATM_110	Alcaligenaceae bacterium	
GCA_012522495.1	Contig	JAAYKI000000000	SAMN13894001	AS10tlH2TH_403	Alcaligenaceae bacterium	
GCA_012727555.1	Contig	JAAYGT000000000	SAMN13893895	AS09scLD_262	Alcaligenaceae bacterium	
GCA_012727755.1	Contig	JAAYGK000000000	SAMN13893886	AS09scLD_210	Alcaligenaceae bacterium	
GCA_012744285.1	Contig	JAAYID000000000	SAMN13893931	AS09scLD_59	Alcaligenaceae bacterium	
GCA_012735395.1	Contig	JAAYHN000000000	SAMN13893915	AS09scLD_384	Alcaligenaceae bacterium	
GCA_012518715.1	Contig	JAAYRP000000000	SAMN13894190	AS23ysBPME_213	Alcaligenaceae bacterium	
GCA_012518515.1	Contig	JAAYRZ000000000	SAMN13894200	AS23ysBPME_27	Alcaligenaceae bacterium	
GCA_012512545.1	Contig	JAAZDZ000000000	SAMN13894630	AS09scLD_247	Alcaligenaceae bacterium	
GCA_012511555.1	Contig	JAAZFX000000000	SAMN13894680	AS10tlH2TH_290	Alcaligenaceae bacterium	
GCA_012511095.1	Contig	JAAZGT000000000	SAMN13894702	AS10tlH2TH_71	Alcaligenaceae bacterium	
GCA_012510735.1	Contig	JAAZHJ000000000	SAMN13894718	AS15tlH2ME_216	Alcaligenaceae bacterium	
GCA_012522985.1	Contig	JAAYJJ000000000	SAMN13893976	AS10tlH2TH_276	Aliarcobacter butzleri	
GCA_012521965.1	Contig	JAAYLI000000000	SAMN13894027	AS15tlH2ME_226	Aliarcobacter skirrowii	
GCA_012842355.1	Contig	DUSZ00000000	SAMN13894375	AS04akNAM_9	Alicyclobacillus sp.	
GCA_012842825.1	Contig	DUWI00000000	SAMN13894868	AS26fmACSIPLY_42	Alphaproteobacteria bacterium	
GCA_012799735.1	Contig	JAAZKP000000000	SAMN13894802	AS22ysBPME_335	Alphaproteobacteria bacterium	
GCA_012519235.1	Contig	JAAYQO000000000	SAMN13894163	AS22ysBPME_60	Aminobacterium colombiense	
GCA_012799235.1	Contig	JAAZLR000000000	SAMN13894830	AS23ysBPME_244	Amphibacillus sp.	
GCA_012797695.1	Contig	JAAZOQ000000000	SAMN13894916	AS27yjCOA_78	Anaerolineaceae bacterium	
GCA_012839565.1	Contig	DUMZ00000000	SAMN13893608	AS05jafATM_106	Anaerolineaceae bacterium	
GCA_012514775.1	Contig	JAAYZQ000000000	SAMN13894455	AS06rmzACSIP_331	Anaerolineaceae bacterium	
GCA_012719195.1	Contig	JAAYAV000000000	SAMN13893641	AS06rmzACSIP_193	Anaerolineae bacterium	
GCA_012514695.1	Contig	JAAYZU000000000	SAMN13894459	AS06rmzACSIP_351	Anaerolineales bacterium	
GCA_012841485.1	Contig	DUUU00000000	SAMN13894573	AS08sgBPME_259	Armatimonadetes bacterium	
GCA_012797625.1	Contig	JAAZOV000000000	SAMN13894921	AS27yjCOA_96	Armatimonadetes bacterium	
GCA_012522555.1	Contig	JAAYKG000000000	SAMN13893999	AS10tlH2TH_387	Armatimonadetes bacterium	
GCA_012522575.1	Contig	JAAYKE000000000	SAMN13893997	AS10tlH2TH_383	Armatimonadetes bacterium	
GCA_012512505.1	Contig	JAAZEB000000000	SAMN13894632	AS09scLD_256	Armatimonadetes bacterium	
GCA_012512265.1	Contig	JAAZEM000000000	SAMN13894643	AS09scLD_344	Armatimonadetes bacterium	
GCA_012516605.1	Contig	JAAYWQ000000000	SAMN13894339	AS4GglBPBL_36	Atopobium sp.	
GCA_012840465.1	Contig	DULJ00000000	SAMN13893566	AS04akNAM_110	Bacillales bacterium	
GCA_012838505.1	Contig	DUPD00000000	SAMN13893806	AS08sgBPME_278	Bacilli bacterium	
GCA_012842165.1	Contig	DUTH00000000	SAMN13894383	AS05jafATM_52	Bacilli bacterium	
GCA_012516175.1	Contig	JAAYWZ000000000	SAMN13894348	AS01afH2WH_61	Bacilli bacterium	
GCA_012518125.1	Contig	JAAYTF000000000	SAMN13894232	AS23ysBPME_84	Bacilli bacterium	
GCA_012513195.1	Contig	JAAZCR000000000	SAMN13894534	AS07pgkLD_206	Bacilli bacterium	
GCA_012842745.1	Contig	DUSF00000000	SAMN13894355	AS04akNAM_105	Bacillus sp. (in: Bacteria)	
GCA_012729895.1	Contig	JAAYCE000000000	SAMN13893676	AS06rmzACSIP_391	Bacteriovoracaceae bacterium	
GCA_012729335.1	Contig	JAAYDJ000000000	SAMN13893707	AS06rmzACSIP_547	Bacteroidales bacterium	
GCA_012729225.1	Contig	JAAYDO000000000	SAMN13893712	AS06rmzACSIP_563	Bacteroidales bacterium	
GCA_012729195.1	Contig	JAAYDQ000000000	SAMN13893714	AS06rmzACSIP_57	Bacteroidales bacterium	
GCA_012727735.1	Contig	JAAYGM000000000	SAMN13893888	AS09scLD_223	Bacteroidales bacterium	
GCA_012727615.1	Contig	JAAYGS000000000	SAMN13893894	AS09scLD_261	Bacteroidales bacterium	
GCA_012728155.1	Contig	JAAYFR000000000	SAMN13893767	AS07pgkLD_98	Bacteroidales bacterium	
GCA_012728615.1	Contig	JAAYES000000000	SAMN13893742	AS07pgkLD_177	Bacteroidales bacterium	
GCA_012728975.1	Contig	JAAYDZ000000000	SAMN13893723	AS06rmzACSIP_601	Bacteroidales bacterium	
GCA_012744335.1	Contig	JAAYCH000000000	SAMN13893679	AS06rmzACSIP_407	Bacteroidales bacterium	
GCA_012744435.1	Contig	JAAYCA000000000	SAMN13893672	AS06rmzACSIP_373	Bacteroidales bacterium	
GCA_012719055.1	Contig	JAAYBC000000000	SAMN13893648	AS06rmzACSIP_237	Bacteroidales bacterium	
GCA_012718945.1	Contig	JAAYBL000000000	SAMN13893657	AS06rmzACSIP_31	Bacteroidales bacterium	
GCA_012719495.1	Contig	JAAYAG000000000	SAMN13893626	AS06rmzACSIP_10	Bacteroidales bacterium	
GCA_012719685.1	Contig	JAAXZW000000000	SAMN13893551	AS02xzSISU_42	Bacteroidales bacterium	
GCA_012523815.1	Contig	JAAYTJ000000000	SAMN13894236	AS24abBPME_126	Bacteroidales bacterium	
GCA_012522795.1	Contig	JAAYJT000000000	SAMN13893986	AS10tlH2TH_315	Bacteroidales bacterium	
GCA_012522535.1	Contig	JAAYKF000000000	SAMN13893998	AS10tlH2TH_384	Bacteroidales bacterium	
GCA_012523175.1	Contig	JAAYJA000000000	SAMN13893967	AS10tlH2TH_19	Bacteroidales bacterium	
GCA_012522855.1	Contig	JAAYJQ000000000	SAMN13893983	AS10tlH2TH_304	Bacteroidales bacterium	
GCA_012522835.1	Contig	JAAYJR000000000	SAMN13893984	AS10tlH2TH_310	Bacteroidales bacterium	
GCA_012523265.1	Contig	JAAYIU000000000	SAMN13893961	AS10tlH2TH_145	Bacteroidales bacterium	
GCA_012523435.1	Contig	JAAYIP000000000	SAMN13893956	AS10tlH2TH_128	Bacteroidales bacterium	
GCA_012522235.1	Contig	JAAYKV000000000	SAMN13894014	AS10tlH2TH_8	Bacteroidales bacterium	
GCA_012522155.1	Contig	JAAYKX000000000	SAMN13894016	AS10tlH2TH_9	Bacteroidales bacterium	
GCA_012521995.1	Contig	JAAYLH000000000	SAMN13894026	AS15tlH2ME_224	Bacteroidales bacterium	
GCA_012513315.1	Contig	JAAZCL000000000	SAMN13894528	AS07pgkLD_150	Bacteroidales bacterium	
GCA_012513115.1	Contig	JAAZCV000000000	SAMN13894538	AS07pgkLD_40	Bacteroidales bacterium	
GCA_012513425.1	Contig	JAAZCF000000000	SAMN13894522	AS07pgkLD_113	Bacteroidales bacterium	
GCA_012513795.1	Contig	JAAZBN000000000	SAMN13894504	AS06rmzACSIP_603	Bacteroidales bacterium	
GCA_012514455.1	Contig	JAAZAF000000000	SAMN13894470	AS06rmzACSIP_404	Bacteroidales bacterium	
GCA_012514255.1	Contig	JAAZAP000000000	SAMN13894480	AS06rmzACSIP_436	Bacteroidales bacterium	
GCA_012514325.1	Contig	JAAZAM000000000	SAMN13894477	AS06rmzACSIP_425	Bacteroidales bacterium	
GCA_012514955.1	Contig	JAAYZG000000000	SAMN13894445	AS06rmzACSIP_299	Bacteroidales bacterium	
GCA_012515395.1	Contig	JAAYYL000000000	SAMN13894424	AS06rmzACSIP_227	Bacteroidales bacterium	
GCA_012512075.1	Contig	JAAZEU000000000	SAMN13894651	AS10tlH2TH_116	Bacteroidales bacterium	
GCA_012512755.1	Contig	JAAZDP000000000	SAMN13894620	AS09scLD_164	Bacteroidales bacterium	
GCA_012512115.1	Contig	JAAZET000000000	SAMN13894650	AS10tlH2TH_107	Bacteroidales bacterium	
GCA_012511975.1	Contig	JAAZEZ000000000	SAMN13894656	AS10tlH2TH_138	Bacteroidales bacterium	
GCA_012511195.1	Contig	JAAZGP000000000	SAMN13894698	AS10tlH2TH_391	Bacteroidales bacterium	
GCA_012511135.1	Contig	JAAZGQ000000000	SAMN13894699	AS10tlH2TH_44	Bacteroidales bacterium	
GCA_012511595.1	Contig	JAAZFV000000000	SAMN13894678	AS10tlH2TH_272	Bacteroidales bacterium	
GCA_012518155.1	Contig	JAAYTC000000000	SAMN13894229	AS23ysBPME_68	Bacteroidales bacterium	
GCA_012518235.1	Contig	JAAYSY000000000	SAMN13894225	AS23ysBPME_55	Bacteroidales bacterium	
GCA_012518275.1	Contig	JAAYSS000000000	SAMN13894219	AS23ysBPME_368	Bacteroidales bacterium	
GCA_012518765.1	Contig	JAAYRN000000000	SAMN13894188	AS23ysBPME_200	Bacteroidales bacterium	
GCA_012519425.1	Contig	JAAYQF000000000	SAMN13894154	AS22ysBPME_320	Bacteroidales bacterium	
GCA_012519055.1	Contig	JAAYQU000000000	SAMN13894169	AS23ysBPME_11	Bacteroidales bacterium	
GCA_012519815.1	Contig	JAAYPM000000000	SAMN13894135	AS22ysBPME_225	Bacteroidales bacterium	
GCA_012519735.1	Contig	JAAYPQ000000000	SAMN13894139	AS22ysBPME_241	Bacteroidales bacterium	
GCA_012519525.1	Contig	JAAYQB000000000	SAMN13894150	AS22ysBPME_304	Bacteroidales bacterium	
GCA_012519515.1	Contig	JAAYQC000000000	SAMN13894151	AS22ysBPME_306	Bacteroidales bacterium	
GCA_012520175.1	Contig	JAAYOU000000000	SAMN13894117	AS21ysBPME_80	Bacteroidales bacterium	
GCA_012519885.1	Contig	JAAYPI000000000	SAMN13894131	AS22ysBPME_181	Bacteroidales bacterium	
GCA_012516545.1	Contig	JAAYWO000000000	SAMN13894337	AS4GglBPBL_17	Bacteroidales bacterium	
GCA_012517575.1	Contig	JAAYUQ000000000	SAMN13894287	AS27yjCOA_17	Bacteroidales bacterium	
GCA_012517605.1	Contig	JAAYUS000000000	SAMN13894289	AS27yjCOA_179	Bacteroidales bacterium	
GCA_012517455.1	Contig	JAAYVA000000000	SAMN13894297	AS27yjCOA_215	Bacteroidales bacterium	
GCA_012517855.1	Contig	JAAYUD000000000	SAMN13894274	AS27yjCOA_134	Bacteroidales bacterium	
GCA_012517825.1	Contig	JAAYUG000000000	SAMN13894277	AS27yjCOA_141	Bacteroidales bacterium	
GCA_012516675.1	Contig	JAAYWJ000000000	SAMN13894332	AS4EglBPAV_5	Bacteroidales bacterium	
GCA_012516975.1	Contig	JAAYVU000000000	SAMN13894317	AS27yjCOA_97	Bacteroidales bacterium	
GCA_012510395.1	Contig	JAAZIC000000000	SAMN13894737	AS19jrsBPTG_11	Bacteroidales bacterium	
GCA_012510415.1	Contig	JAAZHZ000000000	SAMN13894734	AS17jrsBPGN_19	Bacteroidales bacterium	
GCA_012510835.1	Contig	JAAZHG000000000	SAMN13894715	AS15tlH2ME_19	Bacteroidales bacterium	
GCA_012510445.1	Contig	JAAZIA000000000	SAMN13894735	AS18jrsBPVS_13	Bacteroidales bacterium	
GCA_012841425.1	Contig	DUUR00000000	SAMN13894570	AS08sgBPME_251	Bacteroidales bacterium	
GCA_012838585.1	Contig	DUPB00000000	SAMN13893804	AS08sgBPME_260	Bacteroidales bacterium	
GCA_012838875.1	Contig	DUOL00000000	SAMN13893788	AS08sgBPME_175	Bacteroidales bacterium	
GCA_012838865.1	Contig	DUOK00000000	SAMN13893787	AS08sgBPME_168	Bacteroidales bacterium	
GCA_012839545.1	Contig	DUND00000000	SAMN13893612	AS05jafATM_19	Bacteroidales bacterium	
GCA_012839605.1	Contig	DUNA00000000	SAMN13893609	AS05jafATM_109	Bacteroidales bacterium	
GCA_012839275.1	Contig	DUNP00000000	SAMN13893624	AS05jafATM_93	Bacteroidales bacterium	
GCA_012840785.1	Contig	DUVZ00000000	SAMN13894604	AS08sgBPME_87	Bacteroidales bacterium	
GCA_012840645.1	Contig	DURZ00000000	SAMN13894260	AS26fmACSIPLY_35	Bacteroidales bacterium	
GCA_012837685.1	Contig	DUQS00000000	SAMN13893847	AS08sgBPME_429	Bacteroidales bacterium	
GCA_012837565.1	Contig	DUQY00000000	SAMN13893853	AS08sgBPME_458	Bacteroidales bacterium	
GCA_012837535.1	Contig	DURA00000000	SAMN13893855	AS08sgBPME_473	Bacteroidales bacterium	
GCA_012837935.1	Contig	DUQG00000000	SAMN13893835	AS08sgBPME_385	Bacteroidales bacterium	
GCA_012837985.1	Contig	DUQD00000000	SAMN13893832	AS08sgBPME_38	Bacteroidales bacterium	
GCA_012797595.1	Contig	JAAZOU000000000	SAMN13894920	AS27yjCOA_90	Bacteroidales bacterium	
GCA_012797425.1	Contig	JAAZPD000000000	SAMN13894929	AS4AglBPMA_44	Bacteroidales bacterium	
GCA_012798035.1	Contig	JAAZNZ000000000	SAMN13894899	AS27yjCOA_213	Bacteroidales bacterium	
GCA_012797985.1	Contig	JAAZOB000000000	SAMN13894901	AS27yjCOA_220	Bacteroidales bacterium	
GCA_012798745.1	Contig	JAAZMQ000000000	SAMN13894855	AS23ysBPME_91	Bacteroidales bacterium	
GCA_012798715.1	Contig	JAAZMS000000000	SAMN13894857	AS24abBPME_136	Bacteroidales bacterium	
GCA_012798415.1	Contig	JAAZNG000000000	SAMN13894880	AS27yjCOA_143	Bacteroidales bacterium	
GCA_012798805.1	Contig	JAAZMM000000000	SAMN13894851	AS23ysBPME_51	Bacteroidales bacterium	
GCA_012799395.1	Contig	JAAZLI000000000	SAMN13894821	AS23ysBPME_201	Bacteroidales bacterium	
GCA_012799155.1	Contig	JAAZLV000000000	SAMN13894834	AS23ysBPME_26	Bacteroidales bacterium	
GCA_012800245.1	Contig	JAAZJS000000000	SAMN13894779	AS21ysBPME_318	Bacteroidales bacterium	
GCA_012800615.1	Contig	JAAZJC000000000	SAMN13894763	AS21ysBPME_201	Bacteroidales bacterium	
GCA_012837345.1	Contig	DURL00000000	SAMN13893866	AS08sgBPME_89	Bacteroidales bacterium	
GCA_012797325.1	Contig	JAAZPH000000000	SAMN13894933	AS4BglBPHE_13	Bacteroidales bacterium	
GCA_012729475.1	Contig	JAAYDB000000000	SAMN13893699	AS06rmzACSIP_518	Bacteroidetes bacterium	
GCA_012522045.1	Contig	JAAYLC000000000	SAMN13894021	AS15tlH2ME_132	Bacteroidetes bacterium	
GCA_012838685.1	Contig	DUOU00000000	SAMN13893797	AS08sgBPME_22	Bacteroidetes bacterium	
GCA_012797275.1	Contig	JAAZPL000000000	SAMN13894937	AS4DglBPLU_8	Bacteroidetes bacterium	
GCA_012719795.1	Contig	JAAXZR000000000	SAMN13893546	AS01afH2WH_6	Bifidobacterium crudilactis	
GCA_012727475.1	Contig	JAAYHL000000000	SAMN13893913	AS09scLD_379	Bifidobacterium pseudolongum subsp. globosum	
GCA_012799595.1	Contig	JAAZKY000000000	SAMN13894811	AS23ysBPME_107	Bifidobacterium sp.	
GCA_012841325.1	Contig	DUUX00000000	SAMN13894576	AS08sgBPME_289	Brevibacterium sp.	
GCA_012517115.1	Contig	JAAYVP000000000	SAMN13894312	AS27yjCOA_64	Brooklawnia sp.	
GCA_012839885.1	Contig	DUMN00000000	SAMN13893596	AS04akNAM_66	Brucella intermedia	
GCA_012513675.1	Contig	JAAZBT000000000	SAMN13894510	AS06rmzACSIP_625	Burkholderiaceae bacterium	
GCA_012799975.1	Contig	JAAZKF000000000	SAMN13894792	AS22ysBPME_216	Burkholderiales bacterium	
GCA_012797295.1	Contig	JAAZPK000000000	SAMN13894936	AS4DglBPLU_12	Caldisericales bacterium	
GCA_012517765.1	Contig	JAAYUI000000000	SAMN13894279	AS27yjCOA_144	Caldisericales bacterium	
GCA_012728225.1	Contig	JAAYFN000000000	SAMN13893763	AS07pgkLD_73	Campylobacter sp.	
GCA_012519705.1	Contig	JAAYPR000000000	SAMN13894140	AS22ysBPME_266	Campylobacteraceae bacterium	
GCA_012512395.1	Contig	JAAZEH000000000	SAMN13894638	AS09scLD_286	Campylobacteraceae bacterium	
GCA_012521935.1	Contig	JAAYLJ000000000	SAMN13894028	AS15tlH2ME_23	Campylobacteraceae bacterium	
GCA_012515235.1	Contig	JAAYYU000000000	SAMN13894433	AS06rmzACSIP_251	Candidatus Anammoximicrobium sp.	
GCA_012520575.1	Contig	JAAYOB000000000	SAMN13894098	AS21ysBPME_310	Candidatus Atribacteria bacterium	
GCA_012517485.1	Contig	JAAYUT000000000	SAMN13894290	AS27yjCOA_181	Candidatus Atribacteria bacterium	
GCA_012517635.1	Contig	JAAYUP000000000	SAMN13894286	AS27yjCOA_164	Candidatus Atribacteria bacterium	
GCA_012728195.1	Contig	JAAYFP000000000	SAMN13893765	AS07pgkLD_82	Candidatus Atribacteria bacterium	
GCA_012837485.1	Contig	DURC00000000	SAMN13893857	AS08sgBPME_53	Candidatus Atribacteria bacterium	
GCA_012515445.1	Contig	JAAYYI000000000	SAMN13894421	AS06rmzACSIP_217	Candidatus Bathyarchaeota archaeon	
GCA_012798485.1	Contig	JAAZND000000000	SAMN13894877	AS27yjCOA_127	Candidatus Beckwithbacteria bacterium	
GCA_012797845.1	Contig	JAAZOH000000000	SAMN13894907	AS27yjCOA_42	Candidatus Beckwithbacteria bacterium	
GCA_012728835.1	Contig	JAAYEJ000000000	SAMN13893733	AS06rmzACSIP_89	Candidatus Brocadiaceae bacterium	
GCA_012728875.1	Contig	JAAYEF000000000	SAMN13893729	AS06rmzACSIP_72	Candidatus Cloacimonetes bacterium	
GCA_012522215.1	Contig	JAAYKW000000000	SAMN13894015	AS10tlH2TH_87	Candidatus Cloacimonetes bacterium	
GCA_012521775.1	Contig	JAAYLS000000000	SAMN13894037	AS16jrsBPLL_6	Candidatus Cloacimonetes bacterium	
GCA_012523235.1	Contig	JAAYIX000000000	SAMN13893964	AS10tlH2TH_162	Candidatus Cloacimonetes bacterium	
GCA_012522935.1	Contig	JAAYJN000000000	SAMN13893980	AS10tlH2TH_289	Candidatus Cloacimonetes bacterium	
