"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX9956117","iTag analysis of peat: field sample from Eriophorum fen 28-38cm, Core 2, Control Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130901","","4.87","1","16655","9944574","148","AMPLICON","METAGENOMIC","PCR"
"SRX9956116","iTag analysis of peat: field sample from Eriophorum fen 8-18cm, Core 2, Control Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130900","","7.82","1","27033","16140487","147","AMPLICON","METAGENOMIC","PCR"
"SRX9956115","iTag analysis of peat: field sample from Eriophorum fen 28-38cm, Core 2, Control Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130899","","8.18","1","27514","16435722","146","AMPLICON","METAGENOMIC","PCR"
"SRX9956114","iTag analysis of peat: field sample from Eriophorum fen 8-18cm, Core 2, Control Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130898","","6.53","1","21177","12680529","145","AMPLICON","METAGENOMIC","PCR"
"SRX9956113","iTag analysis of peat: field sample from Sphagnum bog  28-38cm, Core 1, Control Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130897","","6.33","1","21846","13122503","144","AMPLICON","METAGENOMIC","PCR"
"SRX9956112","iTag analysis of peat: field sample from Sphagnum bog  8-18cm, Core 1, Control Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130896","","11.74","1","40950","24235505","143","AMPLICON","METAGENOMIC","PCR"
"SRX9956111","iTag analysis of peat: field sample from Sphagnum bog  28-38cm, Core 1, Control Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130895","","66.11","1","231008","137385396","142","AMPLICON","METAGENOMIC","PCR"
"SRX9956110","iTag analysis of peat: field sample from Sphagnum bog  8-18cm, Core 1, Control Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130894","","13.07","1","44775","26786876","141","AMPLICON","METAGENOMIC","PCR"
"SRX9956109","iTag analysis of peat: Day 0 sample from Palsa Hole Big 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130893","","50.36","1","136331","81430007","5","AMPLICON","METAGENOMIC","PCR"
"SRX9956108","iTag analysis of peat: Setup sample from Eriophorum fen 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130892","","33.54","1","91066","54402915","40","AMPLICON","METAGENOMIC","PCR"
"SRX9956107","iTag analysis of peat: Setup sample from Eriophorum fen 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130891","","33.22","1","89522","53622886","39","AMPLICON","METAGENOMIC","PCR"
"SRX9956106","iTag analysis of peat: Setup sample from Palsa Hole Big 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130890","","40.56","1","111043","65625072","38","AMPLICON","METAGENOMIC","PCR"
"SRX9956105","iTag analysis of peat: Setup sample from Palsa Hole Big 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130889","","43.63","1","117574","70248698","37","AMPLICON","METAGENOMIC","PCR"
"SRX9956104","iTag analysis of peat: Setup sample from Palsa Hole Big 8-18cm, Replicate  2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130888","","40.52","1","110348","65321380","36","AMPLICON","METAGENOMIC","PCR"
"SRX9956103","iTag analysis of peat: Setup sample from Palsa Hole Big 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130887","","167.75","1","461627","271589809","35","AMPLICON","METAGENOMIC","PCR"
"SRX9956102","iTag analysis of peat: Day 0 sample from Eriophorum fen 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130886","","41.13","1","109223","65454257","10","AMPLICON","METAGENOMIC","PCR"
"SRX9956101","iTag analysis of peat: Setup sample from Sphagnum bog 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130885","","32.04","1","85235","50863114","34","AMPLICON","METAGENOMIC","PCR"
"SRX9956100","iTag analysis of peat: Setup sample from Sphagnum bog 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130884","","30.15","1","81002","48464315","33","AMPLICON","METAGENOMIC","PCR"
"SRX9956099","iTag analysis of peat: Setup sample from Sphagnum bog 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130883","","42.05","1","114450","67889705","32","AMPLICON","METAGENOMIC","PCR"
"SRX9956098","iTag analysis of peat: Setup sample from Sphagnum bog 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130882","","37.79","1","99580","59007601","31","AMPLICON","METAGENOMIC","PCR"
"SRX9956097","iTag analysis of peat: Day 0 sample from Sphagnum bog 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130881","","48.75","1","133484","79229144","4","AMPLICON","METAGENOMIC","PCR"
"SRX9956096","iTag analysis of peat: Day 50 sample from Eriophorum fen 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130880","","30.99","1","80130","48038034","30","AMPLICON","METAGENOMIC","PCR"
"SRX9956095","iTag analysis of peat: Day 50 sample from Eriophorum fen 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130879","","20.73","1","56173","33638160","29","AMPLICON","METAGENOMIC","PCR"
"SRX9956094","iTag analysis of peat: Day 50 sample from Palsa Hole Big 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130878","","34.27","1","93371","55616232","28","AMPLICON","METAGENOMIC","PCR"
"SRX9956093","iTag analysis of peat: Day 50 sample from Palsa Hole Big 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130877","","34.82","1","92980","55646221","27","AMPLICON","METAGENOMIC","PCR"
"SRX9956092","iTag analysis of peat: Day 50 sample from Palsa Hole Big 8-18cm, Replicate  2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130876","","32.16","1","85468","51304420","26","AMPLICON","METAGENOMIC","PCR"
"SRX9956091","iTag analysis of peat: Day 50 sample from Palsa Hole Big 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130875","","29.03","1","76533","45957251","25","AMPLICON","METAGENOMIC","PCR"
"SRX9956090","iTag analysis of peat: Day 50 sample from Sphagnum bog 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130874","","33.77","1","90581","53959346","24","AMPLICON","METAGENOMIC","PCR"
"SRX9956089","iTag analysis of peat: Day 50 sample from Sphagnum bog 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130873","","37.28","1","100226","59626033","23","AMPLICON","METAGENOMIC","PCR"
"SRX9956088","iTag analysis of peat: Day 50 sample from Sphagnum bog 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130872","","46.66","1","125045","74384973","22","AMPLICON","METAGENOMIC","PCR"
"SRX9956087","iTag analysis of peat: Day 50 sample from Sphagnum bog 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130871","","38.97","1","104611","62242958","21","AMPLICON","METAGENOMIC","PCR"
"SRX9956086","iTag analysis of peat: Day 0 sample from Sphagnum bog 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130870","","33.17","1","85309","50687506","3","AMPLICON","METAGENOMIC","PCR"
"SRX9956085","iTag analysis of peat: Day 25 sample from Eriophorum fen 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130869","","35.83","1","95696","57324100","20","AMPLICON","METAGENOMIC","PCR"
"SRX9956084","iTag analysis of peat: Day 25 sample from Eriophorum fen 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130868","","34.97","1","92857","55468046","19","AMPLICON","METAGENOMIC","PCR"
"SRX9956083","iTag analysis of peat: Day 25 sample from Palsa Hole Big 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130867","","28.01","1","74879","44751235","18","AMPLICON","METAGENOMIC","PCR"
"SRX9956082","iTag analysis of peat: Day 25 sample from Palsa Hole Big 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130866","","74.23","1","202418","120166750","17","AMPLICON","METAGENOMIC","PCR"
"SRX9956081","iTag analysis of peat: Day 25 sample from Palsa Hole Big 8-18cm, Replicate  2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130865","","30.46","1","79821","47870577","16","AMPLICON","METAGENOMIC","PCR"
"SRX9956080","iTag analysis of peat: Day 25 sample from Palsa Hole Big 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130864","","31.04","1","82772","49686930","15","AMPLICON","METAGENOMIC","PCR"
"SRX9956079","iTag analysis of peat: Day 25 sample from Sphagnum bog 28-38cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130863","","38.92","1","105012","62729819","14","AMPLICON","METAGENOMIC","PCR"
"SRX9956078","iTag analysis of peat: Day 25 sample from Sphagnum bog 28-38cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130862","","34.25","1","90343","54001849","13","AMPLICON","METAGENOMIC","PCR"
"SRX9956077","iTag analysis of peat: Day 25 sample from Sphagnum bog 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130861","","43.05","1","116493","69268310","12","AMPLICON","METAGENOMIC","PCR"
"SRX9956076","iTag analysis of peat: Day 25 sample from Sphagnum bog 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130860","","43.39","1","117752","70079221","11","AMPLICON","METAGENOMIC","PCR"
"SRX9956075","iTag analysis of peat: Day 0 sample from Sphagnum bog 8-18cm, Replicate 2","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130859","","45.47","1","123079","73173518","2","AMPLICON","METAGENOMIC","PCR"
"SRX9956074","iTag analysis of peat: Day 0 sample from Sphagnum bog 8-18cm, Replicate 1","peat metagenome","Illumina MiSeq","Centre for Microbiome Research, Queensland Univers","SRP303405","Functional capacities of microbial communities to carry out large scale geochemical processes are maintained during ex situ anaerobic incubation.","SRS8130858","","57.26","1","154998","91871897","1","AMPLICON","METAGENOMIC","PCR"
"SRX4072504","metatranscriptome of peat: 20120800_P2M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288957","","3331.64","1","30583918","7541176568","transcriptome.nextseq.20120800_P2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072503","metatranscriptome of peat: 20120800_E3D","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288980","","495.39","1","1392708","810556056","transcriptome.miseq.20120800_E3D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072502","metatranscriptome of peat: 20120800_S1M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288947","","6176.21","1","47972675","12805660748","transcriptome.nextseq.20120800_S1M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072501","metatranscriptome of peat: 20120800_P2M","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288957","","282.77","1","815272","474488304","transcriptome.miseq.20120800_P2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072500","metatranscriptome of peat: 20120800_S1S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289038","","3579.64","1","30819438","8632725217","transcriptome.nextseq.20120800_S1S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072499","metatranscriptome of peat: 20120800_S1M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288947","","2012.27","1","22244511","5605616772","transcriptome.hiseq.20120800_S1M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072498","metatranscriptome of peat: 20120800_S1X","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288951","","395.21","1","1112116","647251512","transcriptome.miseq.20120800_S1X","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072497","metatranscriptome of peat: 20120800_S1X","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288951","","4011.91","1","38268758","8744026752","transcriptome.nextseq.20120800_S1X","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072496","metatranscriptome of peat: 20120700_P3M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289073","","6048.13","1","47960281","12552531160","transcriptome.nextseq.20120700_P3M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072495","metatranscriptome of peat: 20120700_P3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289046","","5587.2","1","49285113","12222859022","transcriptome.nextseq.20120700_P3D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072494","metatranscriptome of peat: 20120700_E3M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288877","","2301.82","1","25553793","6439555836","transcriptome.hiseq.20120700_E3M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072493","metatranscriptome of peat: 20120700_E3M","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288877","","6630.82","1","54240628","14797001218","transcriptome.nextseq.20120700_E3M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072492","metatranscriptome of peat: 20120700_E3D","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288879","","2325.76","1","25896973","6526037196","transcriptome.hiseq.20120700_E3D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072491","metatranscriptome of peat: 20120700_E3D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288879","","5823.35","1","56101501","13122519958","transcriptome.nextseq.20120700_E3D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072490","metatranscriptome of peat: 20120700_E2X","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288878","","4762.94","1","40674085","10478560764","transcriptome.nextseq.20120700_E2X","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072489","metatranscriptome of peat: 20120600_S2S","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288918","","2089.99","1","23452912","5910133824","transcriptome.hiseq.20120600_S2S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072488","metatranscriptome of peat: 20120700_S1D","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289039","","7680.44","1","62404305","16558022864","transcriptome.nextseq.20120700_S1D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072487","metatranscriptome of peat: 20120700_P3M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3289073","","2354.52","1","26021531","6557425812","transcriptome.hiseq.20120700_P3M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072486","metatranscriptome of peat: 20120600_S2M","peat metagenome","Illumina HiSeq 2000","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288911","","2258.64","1","24949244","6287209488","transcriptome.hiseq.20120600_S2M","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072485","metatranscriptome of peat: 20120600_S2S","peat metagenome","NextSeq 500","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288918","","8311.53","1","64673862","17300771991","transcriptome.nextseq.20120600_S2S","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
"SRX4072484","metatranscriptome of peat: 20120600_S2D","peat metagenome","Illumina MiSeq","Australian Centre for Ecogenomics, The University ","SRP145414","peat metagenome Metagenome","SRS3288912","","364.66","1","1059383","616560906","transcriptome.miseq.20120600_S2D","RNA-Seq","METATRANSCRIPTOMIC","RANDOM"
